English,Romanian
you,tu
i ,eu
the,acel
to,la
a,A
it,aceasta
and,și
that,acea
of ,de
is,este
in,în
what,ce
we,noi
me,pe mine
this,acest
he,el
for ,pentru
my ,Ale mele
on ,pe
have ,avea
your ,ta
do ,do
was ,a fost
them,lor
no ,Nu
not ,nu
be ,fi
are ,sunteți
don,don
know ,Cunoaște
can ,poate sa
with ,cu
but ,dar
all ,toate
so ,asa de
just ,doar
there ,Acolo
here ,Aici
they ,ei
like ,ca
ll ,voi
get ,obține
she ,ea
go ,merge
if ,dacă
right ,dreapta
out ,afară
about ,despre
up ,sus
at ,la
him ,el
now ,acum
oh ,Oh
one ,unu
come ,vino
well ,bine
her ,ea
how ,Cum
yeah ,Da
we , noi
will ,voi
got ,a primit
want ,vrei
think ,gândi
as ,la fel de
see ,vedea
did ,făcut
good ,bun
who ,OMS
why ,De ce
from ,din
let ,lăsa
his ,a lui
yes ,da
when ,când
going ,mergând
time ,timp
an ,un
okay ,bine
back,înapoi
look ,uite
us ,noi
would,ar
them,lor
where,Unde
were,au fost
take,lua
then,apoi
had,a avut
or,sau
been,a fost
our,al nostru
gonna,va fi
tell,spune
really,într-adevăr
man,om
